id	name	name_src	type	aat_type	close_match
15828	Sse	alcedo	pueblo	town	
15829	Sse	alcedo	provincia	province	
15830	Tasiza	alcedo	rio	river	
15831	Tasuaya	alcedo	pueblo	town	
15832	Tatabe	alcedo	provincia	province	
15833	Tataca	alcedo	pueblos y tierras indígenas	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1005362
15834	Tatamagouche	alcedo	pueblos y tierras indígenas	town	
15835	Tatasi	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=8000162
15836	Tatipera	alcedo			
15837	Tatique	alcedo	pueblo	town	
15838	Tavanda	alcedo	rio	river	
15839	Tauca	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6001015
15840	Tauca	alcedo	rio	river	
15841	Taucas	alcedo	people	cultural group	
15842	Tavela	alcedo	rio	river	
15843	Taulasse	alcedo	pueblos y tierras indígenas	town	
15844	Taulcon	alcedo	pueblo	town	
15845	Tauli	alcedo	pueblo	town	
15846	Taumacoi	alcedo			
15847	Taupa	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6001300
15848	Taunton	alcedo	ciudad	city	
15849	Tavossi	alcedo	pueblos y tierras indígenas	town	
15850	Taureaux	alcedo	bahía	bay	
15851	Tauriampa	alcedo	pueblo	town	
15852	Tauricato	alcedo	pueblo	town	
15853	Taurisma	alcedo	provincia	province	
15854	Taurisma	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6000581
15855	Taus	alcedo	people	cultural group	
15856	Tausa	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=5000774
15857	Tautaranche	alcedo	pueblo	town	
15858	Taxa	alcedo	isla	island	
15859	Taximaroa	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=1002167
15860	Taxma	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=8000458
15861	Tay	alcedo	rio	river	
15862	Taya	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6000092
15863	Tayabamba	alcedo	pueblo	town	https://www.hgis-indias.net/dokuwiki/doku.php?id=6001383
15864	Tayacaxa	alcedo	isla	island	
15865	Tayacook	alcedo	pueblos y tierras indígenas	town	
15866	Tayequa	alcedo	pueblo	town	
